,Type,Sender,Recipient,Transaction,Message,View,Num_transaction,Result
0,Pre-prepare,Replica_0,Replica_1,"['Ana', 'Elisa', 400]",,0,0,
1,Pre-prepare,Replica_0,Replica_2,"['Ana', 'Elisa', 400]",,0,0,
2,Pre-prepare,Replica_0,Replica_3,"['Ana', 'Elisa', 400]",,0,0,
3,Prepare,Replica_0,Replica_1,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
4,Prepare,Replica_0,Replica_2,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
5,Prepare,Replica_1,Replica_0,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
6,Prepare,Replica_0,Replica_3,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
7,Prepare,Replica_3,Replica_0,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
8,Prepare,Replica_1,Replica_2,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
9,Prepare,Replica_3,Replica_1,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
10,Prepare,Replica_1,Replica_3,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
11,Prepare,Replica_3,Replica_2,,"{'Transaction': ['Ana', 'Elisa', 400], 'View': 0, 'Num_transaction': 0}",,,
12,Commit,Replica_1,Replica_0,,True,,,
13,Commit,Replica_0,Replica_1,,True,,,
14,Commit,Replica_1,Replica_2,,True,,,
15,Commit,Replica_3,Replica_0,,True,,,
16,Commit,Replica_0,Replica_2,,True,,,
17,Commit,Replica_3,Replica_1,,True,,,
18,Commit,Replica_1,Replica_3,,True,,,
19,Commit,Replica_0,Replica_3,,True,,,
20,Commit,Replica_3,Replica_2,,True,,,
21,Inform,Replica_3,Client,"['Ana', 'Elisa', 400]",,,0,"{'Ana': 100, 'Elisa': 500}"
22,Inform,Replica_0,Client,"['Ana', 'Elisa', 400]",,,0,"{'Ana': 100, 'Elisa': 500}"
23,Inform,Replica_1,Client,"['Ana', 'Elisa', 400]",,,0,"{'Ana': 100, 'Elisa': 500}"
